Breed,2016 Rank,2015 Rank,2014 Rank,2013 Rank
Retrievers (Labrador),1,1.0,1.0,1.0
German Shepherd Dogs,2,2.0,2.0,2.0
Retrievers (Golden),3,3.0,3.0,3.0
Bulldogs,4,4.0,4.0,5.0
Beagles,5,5.0,5.0,4.0
French Bulldogs,6,6.0,9.0,11.0
Poodles,7,8.0,7.0,8.0
Rottweilers,8,9.0,10.0,9.0
Yorkshire Terriers,9,7.0,6.0,6.0
Boxers,10,10.0,8.0,7.0
Pointers (German Shorthaired),11,11.0,12.0,13.0
Siberian Huskies,12,12.0,13.0,14.0
Dachshunds,13,13.0,11.0,10.0
Great Danes,14,15.0,15.0,16.0
Doberman Pinschers,15,14.0,14.0,12.0
Australian Shepherds,16,17.0,18.0,20.0
Miniature Schnauzers,17,16.0,16.0,17.0
Pembroke Welsh Corgis,18,20.0,22.0,24.0
Cavalier King Charles Spaniels,19,18.0,19.0,18.0
Shih Tzu,20,19.0,17.0,15.0
Boston Terriers,21,22.0,23.0,23.0
Pomeranians,22,21.0,20.0,19.0
Havanese,23,24.0,25.0,25.0
Shetland Sheepdogs,24,23.0,21.0,21.0
Brittanys,25,26.0,27.0,30.0
Spaniels (English Springer),26,27.0,28.0,28.0
Bernese Mountain Dogs,27,29.0,32.0,32.0
Mastiffs,28,25.0,26.0,26.0
Spaniels (Cocker),29,30.0,30.0,29.0
Chihuahuas,30,28.0,24.0,22.0
Vizslas,31,32.0,34.0,34.0
Pugs,32,33.0,33.0,31.0
Maltese,33,31.0,29.0,27.0
Weimaraners,34,34.0,35.0,33.0
Newfoundlands,35,37.0,37.0,37.0
Miniature American Shepherds,36,,,
Collies,37,36.0,36.0,35.0
Border Collies,38,38.0,40.0,44.0
Basset Hounds,39,39.0,42.0,41.0
Cane Corso,40,35.0,48.0,50.0
West Highland White Terriers,41,41.0,38.0,36.0
Rhodesian Ridgebacks,42,40.0,39.0,39.0
Retrievers (Chesapeake Bay),43,42.0,41.0,43.0
Shiba Inu,44,45.0,47.0,46.0
Bichons Frises,45,44.0,44.0,40.0
Akitas,46,46.0,46.0,45.0
Belgian Malinois,47,51.0,60.0,60.0
Bullmastiffs,48,43.0,45.0,40.0
St. Bernards,49,50.0,51.0,47.0
Soft Coated Wheaten Terriers,50,47.0,49.0,51.0
Portuguese Water Dogs,51,52.0,52.0,49.0
Bloodhounds,52,49.0,50.0,48.0
Papillons,53,48.0,43.0,38.0
Australian Cattle Dogs,54,56.0,55.0,58.0
Airedale Terriers,55,53.0,57.0,56.0
Spaniels (English Cocker),56,60.0,62.0,62.0
Bull Terriers,57,55.0,53.0,52.0
Scottish Terriers,58,58.0,59.0,55.0
Alaskan Malamutes,59,54.0,54.0,57.0
Whippets,60,57.0,56.0,59.0
Chinese Shar-Pei,61,59.0,58.0,54.0
Dalmatians,62,62.0,66.0,64.0
Dogues de Bordeaux,63,63.0,63.0,65.0
